magnitude,cdi,mmi,sig,dmin,latitude,longitude,Year,Month,tsunami
6.5,0,7.0,650.0,0.0,-5.562,122.129,2005,2,0
6.5,3,5.0,652.0,0.0,4.756,126.421,2005,2,0
6.7,0,4.0,691.0,0.0,-14.252,167.259,2005,2,0
6.8,4,7.0,724.0,0.0,42.9,145.228,2004,12,0
7.0,4,7.0,771.0,0.0,43.006,145.119,2004,11,0
7.1,0,7.0,776.0,0.0,-3.609,135.404,2004,11,0
7.2,8,8.0,820.0,0.0,4.695,-77.508,2004,11,0
7.5,5,7.0,870.0,0.0,-8.152,124.868,2004,11,0
6.6,0,8.0,670.0,0.0,37.226,138.779,2004,10,0
6.5,5,5.0,665.0,0.0,13.925,120.534,2004,10,0
6.8,0,6.0,711.0,0.0,-10.951,162.161,2004,10,0
6.5,0,7.0,650.0,0.0,-35.173,-70.525,2004,8,0
6.5,0,7.0,650.0,0.0,-0.443,133.091,2004,7,0
6.9,0,5.0,732.0,0.0,55.682,160.003,2004,6,0
6.6,0,7.0,670.0,0.0,-37.695,-73.406,2004,5,0
6.7,0,5.0,691.0,0.0,-9.362,122.839,2004,4,0
6.5,0,4.0,650.0,0.0,-13.174,167.198,2004,4,0
6.6,0,4.0,670.0,0.0,36.512,71.029,2004,4,0
6.7,0,7.0,691.0,0.0,-3.665,135.339,2004,2,0
7.3,0,7.0,820.0,0.0,-4.003,135.023,2004,2,0
7.0,0,7.0,754.0,0.0,-3.615,135.538,2004,2,0
6.7,0,6.0,691.0,0.0,-3.12,127.4,2004,1,0
6.6,0,9.0,670.0,0.0,28.995,58.311,2003,12,0
